09_11_20, 34.37
06_18_20, 31.81
03_05_20, 33.47
12_05_19, 26.8
09_12_19, 25.59
06_20_19, 23.13
03_07_19, 25.61
12_06_18, 29.56
09_13_18, 28.58
06_21_18, 28.73
03_08_18, 22.98
11_30_17, 25.86
09_08_17, 21.06
06_15_17, 24.56
03_02_17, 30.67
12_01_16, 33.36
09_10_16, 31.25
06_16_16, 35.18
03_03_16,
12_03_15
09_11_15
06_18_15
03_05_15
12_04_14
09_11_14
06_19_14
03_06_14
12_05_13
09_12_13
06_20_13
03_07_13
11_29_12
09_07_12
06_14_12
03_01_12
12_01_11
09_09_11
06_16_11
03_03_11
12_02_10


